监测时间,WS0202,WS0203,WS0204,WS0205,WS0206,WS0207,WS0208
2018/11/16,9.5,14.5,13,35.5,11.6,3.5,8.3
2018/11/17,9.9,14.5,12.9,35.4,11.1,3.2,8.6
2018/11/18,9.5,13.7,13.5,35.3,11.9,3.3,8.4
2018/11/19,9.4,13.7,12.9,35.7,12.3,2.7,8.4
2018/11/20,9.2,13.7,12.5,35.9,12.2,3.1,8.3
2018/11/21,8.9,13.7,13.3,36.3,12.9,3.3,8.2
2018/11/22,8.8,13.7,13.4,36.4,13.2,3.1,8.1
2018/11/23,9.4,13.7,13,35.8,12.8,2.6,7.6
2018/11/24,9.5,13.9,12.7,35.9,12.6,2.4,8.1
2018/11/25,9.1,13.9,12.8,36.1,12.4,2.6,7.7
2018/11/26,9.2,13.9,12.5,36,13.2,2.2,7
2018/11/27,8.9,14.5,12.4,35.9,13.4,1.4,6.6
2018/11/28,8.5,15.1,12.8,36.1,13.6,1.4,6.8
2018/11/29,8.8,15.2,12.7,35.9,13.4,2,6.7
2018/11/30,9.3,14.5,13,35.4,13,2.4,7
2018/12/1,8.7,14.8,13,35.6,13.3,2.3,7.4
2018/12/2,8.7,14.8,13.2,35,12.9,2.2,7.9
2018/12/3,9.3,14.8,12.5,34.2,13.2,2.2,6.9
2018/12/4,8.5,14.8,12.6,34.7,13.6,2.3,7.6
2018/12/5,8.5,14.8,12.6,34.7,13.6,2.3,7.6
2018/12/6,8.8,14.8,12.6,34.7,13.7,2.1,7.6
2018/12/7,8.8,14.8,12.6,34.7,13.7,2.1,7.6
2018/12/8,8.8,14.8,12.6,34.7,13.7,2.1,7.6
2018/12/9,9.2,15.6,11.5,34.7,14.2,1.8,6.9
2018/12/10,8.9,16.5,11.4,34.7,14.3,1.7,6.4
2018/12/11,8.9,16.3,11.9,34.7,14.1,1.8,6.7
2018/12/12,8.8,15.1,12.5,34.7,14,1.8,6.6
2018/12/13,9,15.1,12.7,34.7,14,2.2,6.6
2018/12/14,9,15.1,12.7,34.7,14,2.2,6.6
